Kategorie: Alle Kategorien

Monat,parc adula: (Weltweit)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,25
2005-04,24
2005-05,24
2005-06,62
2005-07,100
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,11
2007-04,9
2007-05,9
2007-06,9
2007-07,9
2007-08,9
2007-09,9
2007-10,8
2007-11,8
2007-12,7
2008-01,7
2008-02,8
2008-03,7
2008-04,7
2008-05,7
2008-06,7
2008-07,7
2008-08,14
2008-09,6
2008-10,6
2008-11,6
2008-12,6
2009-01,6
2009-02,6
2009-03,5
2009-04,6
2009-05,7
2009-06,5
2009-07,5
2009-08,15
2009-09,5
2009-10,4
2009-11,4
2009-12,4
2010-01,8
2010-02,4
2010-03,4
2010-04,8
2010-05,12
2010-06,5
2010-07,5
2010-08,5
2010-09,5
2010-10,7
2010-11,3
2010-12,3
2011-01,6
2011-02,3
2011-03,7
2011-04,5
2011-05,4
2011-06,3
2011-07,3
2011-08,4
2011-09,11
2011-10,5
2011-11,9
2011-12,3
2012-01,5
2012-02,7
2012-03,5
2012-04,6
2012-05,6
2012-06,5
2012-07,8
2012-08,4
2012-09,3
2012-10,5
2012-11,6
2012-12,5
2013-01,3
2013-02,10
2013-03,3
2013-04,8
2013-05,7
2013-06,5
2013-07,14
2013-08,4
2013-09,4
2013-10,5
2013-11,9
2013-12,4
2014-01,5
2014-02,4
2014-03,5
2014-04,5
2014-05,7
2014-06,7
2014-07,4
2014-08,8
2014-09,5
2014-10,4
2014-11,8
2014-12,4
2015-01,4
2015-02,3
2015-03,4
2015-04,6
2015-05,8
2015-06,8
2015-07,4
2015-08,3
2015-09,2
2015-10,6
2015-11,25
2015-12,4
2016-01,12
2016-02,12
2016-03,6
2016-04,9
2016-05,8
2016-06,8
2016-07,8
2016-08,11
